股票代码,股票名称,交易日期,新浪行业,新浪概念,新浪地域,开盘价,最高价,最低价,收盘价,后复权价,前复权价,涨跌幅,成交量,成交额,换手率,流通市值,总市值,是否涨停,是否跌停,市盈率TTM,市销率TTM,市现率TTM,市净率,MA_5,MA_10,MA_20,MA_30,MA_60,MA金叉死叉,MACD_DIF,MACD_DEA,MACD_MACD,MACD_金叉死叉,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉,布林线中轨,布林线上轨,布林线下轨,psy,psyma,rsi1,rsi2,rsi3,振幅,量比
sz300001,特锐德,12/14/2016,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,17.92,18.15,17.78,17.95,123.455172,17.95,0.002233,3672750,65926033.43,0.004331,15220848577,17906382846,0,0,123.464433,5.44315,31.114632,6.922751,18.592,19.413,19.815,19.945333,20.069167,,-0.468749,-0.193995,-0.549509,,9.201464,14.951129,-2.297866,,19.927,21.323005,18.530995,41.666667,38.888889,10.62515,18.580175,28.031878,0.020659,0.627707
sz300001,特锐德,12/13/2016,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,17.99,18.18,17.78,17.91,123.180063,17.91,0.000559,5509004,99327341.9,0.006497,15186930252,17866480043,0,0,123.189303,5.43102,31.045296,6.907324,19.014,19.652,19.927,20.023333,20.109,,-0.37878,-0.125306,-0.506948,,10.156363,17.825961,-5.182834,,20.0465,21.116155,18.976845,33.333333,40.277778,8.602288,17.434032,27.417158,0.022346,0.917492
sz300001,特锐德,12/12/2016,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,19.57,19.66,17.74,17.9,123.111285,17.9,-0.08158,8676316,161596933.5,0.010232,15178450670,17856504343,0,0,123.120521,5.427988,31.027962,6.903467,19.436,19.882,20.0465,20.104667,20.1585,,-0.254364,-0.061937,-0.384854,,12.419975,21.660761,-6.061597,,20.169,20.655751,19.682249,33.333333,43.055556,8.169278,17.166814,27.268319,0.098512,1.478408
sz300001,特锐德,12/9/2016,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,19.77,19.85,19.35,19.49,134.046869,19.49,-0.011162,5701890,111573289,0.006724,16526704110,19442640762,0,0,134.056924,5.910139,33.784077,7.51668,19.898,20.116,20.169,20.181667,20.207833,10日、30日均线死叉；20日、30日均线死叉；,-0.090847,-0.013831,-0.154032,,15.980956,26.281154,-4.61944,,20.2115,20.611719,19.811281,33.333333,45.833333,21.944961,32.49487,39.660819,0.025368,1.169336
sz300001,特锐德,12/8/2016,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.06,20.1,19.7,19.71,135.559968,19.71,-0.017448,5695347,112855580.6,0.006717,16713254900,19662106178,0,0,135.570137,5.976851,34.165426,7.601527,20.044,20.204,20.2115,20.193,20.230167,5日、30日均线死叉；10日、20日均线死叉；,-0.042708,0.005423,-0.096262,,19.006894,31.431253,-5.841822,,20.2415,20.592555,19.890445,41.666667,48.611111,27.241692,36.644864,42.204118,0.01994,1.108007
sz300001,特锐德,12/7/2016,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.02,20.12,19.81,20.06,137.967172,20.06,0.001998,4439513,88555695.69,0.005236,17010040248,20011255705,0,0,137.977522,6.082985,34.772118,7.736511,20.234,20.244,20.2415,20.194,20.247333,5日、10日均线死叉；5日、20日均线死叉；5日、60日均线死叉；10日、60日均线死叉；,-0.003044,0.017456,-0.041001,,28.038644,37.643432,8.829068,,20.237,20.579974,19.894026,50,48.611111,40.060754,45.031929,46.777469,0.015485,0.641124
sz300001,特锐德,12/6/2016,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.25,20.39,20.02,20.02,137.692063,20.02,-0.009401,4830380,97535484.09,0.005696,16976121923,19971352902,0,0,137.702392,6.070856,34.702782,7.721084,20.29,20.27,20.237,20.183333,20.255,1日、30日均线死叉；,0.011989,0.022581,-0.021185,死叉,28.900071,42.445826,1.808561,,20.243,20.574576,19.911424,50,47.222222,37.248484,43.681565,46.138222,0.018308,0.630785
sz300001,特锐德,12/5/2016,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.05,20.48,20.01,20.21,138.998831,20.21,-0.000495,3713753,75173363.5,0.00438,17137233969,20160891216,0,0,139.009258,6.128471,35.032129,7.794362,20.328,20.294,20.243,20.180333,20.260833,,0.035075,0.025229,0.019691,,42.683439,49.218703,29.612912,,20.2405,20.574904,19.906096,50,47.222222,45.744062,48.913659,48.806696,0.023244,0.475937
sz300001,特锐德,12/2/2016,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.55,20.62,20.21,20.22,139.067608,20.22,-0.021297,7021879,143201234.6,0.008281,17145713550,20170866917,0,0,139.078041,6.131503,35.049463,7.798218,20.334,20.283,20.2405,20.172333,20.262333,1日、5日均线死叉；1日、10日均线死叉；1日、20日均线死叉；1日、60日均线死叉；,0.044685,0.022768,0.043835,,50.691826,52.486335,47.102807,死叉,20.2365,20.571945,19.901055,50,48.611111,46.206284,49.197963,48.949491,0.019845,0.86369
sz300001,特锐德,12/1/2016,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.38,20.76,20.31,20.66,142.093808,20.66,0.015733,14617342,300758203.8,0.017238,17518815131,20609797750,0,0,142.104467,6.264929,35.812161,7.967912,20.364,20.27,20.2365,20.159667,20.267833,5日、60日均线金叉；10日、60日均线金叉；,0.055284,0.017289,0.07599,,62.524225,53.38359,80.805496,,20.2115,20.490414,19.932586,50,48.611111,73.401467,64.263322,55.838142,0.022124,1.843038
sz300001,特锐德,11/30/2016,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.16,20.47,20.11,20.34,139.892935,20.34,0.006432,8105263,164937295,0.009559,17247468527,20290575326,0,0,139.903429,6.167892,35.257471,7.844498,20.254,20.217,20.2115,20.137333,20.264833,1日、5日均线金叉；1日、60日均线金叉；10日、20日均线金叉；,0.023207,0.00779,0.030834,,50.453004,48.813272,53.732469,金叉,20.209,20.496004,19.921996,41.666667,48.611111,58.652783,55.096433,51.035488,0.017813,1.369346
sz300001,特锐德,11/29/2016,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.24,20.45,20.15,20.21,138.998831,20.21,-0.001482,5556932,112733138.1,0.006553,17137233969,20160891216,0,0,139.009258,6.128471,35.032129,7.794362,20.25,20.202,20.209,20.126,20.268667,,0.014509,0.003935,0.021148,,44.547431,47.993406,37.655481,,20.216,20.525161,19.906839,41.666667,50,49.09741,50.354053,48.870708,0.014822,0.880987
sz300001,特锐德,11/28/2016,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.45,20.5,20.21,20.24,139.205163,20.24,-0.006382,5349023,108896702.3,0.006308,17162672713,20190818318,0,0,139.215605,6.137568,35.084131,7.805932,20.26,20.211,20.216,20.125667,20.269833,1日、5日均线死叉；1日、60日均线死叉；10日、20日均线死叉；,0.016434,0.001292,0.030284,,47.953222,49.716393,44.426879,,20.2145,20.529106,19.899894,50,50,51.380903,51.504726,49.353259,0.014237,0.883366
sz300001,特锐德,11/25/2016,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.08,20.39,20.02,20.37,140.099267,20.37,0.012929,6026993,121907317.7,0.007108,17272907271,20320502428,0,0,140.109777,6.176989,35.309474,7.856068,20.232,20.222,20.2145,20.115333,20.270167,1日、5日均线金叉；1日、10日均线金叉；1日、20日均线金叉；1日、60日均线金叉；5日、10日均线金叉；5日、20日均线金叉；,0.015596,-0.002493,0.03618,,50.23172,50.597979,49.499201,,20.1875,20.512926,19.862074,58.333333,47.222222,61.752239,56.646645,51.463499,0.018399,1.039885
sz300001,特锐德,11/24/2016,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.31,20.31,20.07,20.11,138.311059,20.11,-0.010335,4557174,91966814.22,0.005374,17052438155,20061134208,0,0,138.321434,6.098147,34.858788,7.755795,20.176,20.219,20.1875,20.107333,20.274,1日、5日均线死叉；1日、10日均线死叉；1日、20日均线死叉；1日、60日均线死叉；5日、20日均线死叉；,0.001064,-0.007016,0.01616,,41.385315,50.781109,22.593728,,20.169,20.529228,19.808772,50,43.055556,42.361498,46.934043,47.130725,0.011811,0.866218
sz300001,特锐德,11/23/2016,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.28,20.54,20.28,20.32,139.755381,20.32,0.002962,10047969,205102829.2,0.01185,17230509364,20270623924,0,0,139.765865,6.161827,35.222803,7.836785,20.18,20.239,20.169,20.106333,20.280333,1日、60日均线金叉；,0.008973,-0.009036,0.036018,,52.818714,55.479006,47.49813,,20.14,20.534789,19.745211,50,41.666667,64.304379,56.267123,50.629048,0.012833,1.93165
sz300001,特锐德,11/22/2016,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.11,20.27,20.03,20.26,139.342717,20.26,0.00796,4295217,86476122.18,0.005065,17179631876,20210769720,0,0,139.35317,6.143633,35.118799,7.813645,20.154,20.204,20.14,20.099333,20.283667,1日、5日均线金叉；1日、10日均线金叉；1日、20日均线金叉；1日、30日均线金叉；,-0.002444,-0.013538,0.022187,,50.524367,56.809152,37.954797,,20.1235,20.528789,19.718211,50,41.666667,59.28266,53.864325,49.604828,0.01194,0.936251
sz300001,特锐德,11/21/2016,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.1,20.18,20.01,20.1,138.242281,20.1,0.000498,4051788,81383379.17,0.004778,17043958574,20051158508,0,0,138.252652,6.095115,34.841454,7.751938,20.162,20.192,20.1235,20.102333,20.294833,20日、30日均线金叉；5日、10日均线死叉；,-0.010873,-0.016312,0.010878,,52.638402,59.951544,38.012118,,20.117,20.534354,19.699646,41.666667,43.055556,40.763928,46.706832,46.783501,0.008462,0.82412
sz300001,特锐德,11/18/2016,发电设备,智能电网；铁路基建；充电桩；东亚自贸；自贸区；日韩贸易,山东,20.3,20.3,20.07,20.09,138.173504,20.09,-0.001987,3352850,67563267.64,0.003954,17035478992,20041182807,0,0,138.183869,6.092082,34.82412,7.748081,20.212,20.198,20.117,20.117667,20.3115,1日、20日均线死叉；1日、30日均线死叉；,-0.005181,-0.017671,0.02498,,56.066037,63.608115,40.98188,,20.1045,20.556241,19.652759,33.333333,44.444444,39.326692,46.228902,46.604454,0.011426,0.630816
